k_index,k_fractional,energy_eV,spectral_weight_per_eV
0,-0.3750000000,-26.9288469781,4.0563788520e-04
0,-0.3750000000,-26.8988426918,4.5647872718e-04
0,-0.3750000000,-26.8688384055,5.1753019022e-04
0,-0.3750000000,-26.8388341192,5.8880448386e-04
0,-0.3750000000,-26.8088298328,6.6934677353e-04
0,-0.3750000000,-26.7788255465,7.5680475746e-04
0,-0.3750000000,-26.7488212602,8.4505230133e-04
0,-0.3750000000,-26.7188169739,9.2174409903e-04
0,-0.3750000000,-26.6888126875,9.7222847043e-04
0,-0.3750000000,-26.6588084012,9.8956355562e-04
0,-0.3750000000,-26.6288041149,9.7804164514e-04
0,-0.3750000000,-26.5987998285,9.4631721907e-04
0,-0.3750000000,-26.5687955422,9.0303991743e-04
0,-0.3750000000,-26.5387912559,8.5827432512e-04
0,-0.3750000000,-26.5087869696,8.2215379383e-04
0,-0.3750000000,-26.4787826832,8.0065713815e-04
0,-0.3750000000,-26.4487783969,7.9394828975e-04
0,-0.3750000000,-26.4187741106,7.9862471382e-04
0,-0.3750000000,-26.3887698243,8.1239605211e-04
0,-0.3750000000,-26.3587655379,8.3771255016e-04
0,-0.3750000000,-26.3287612516,8.8115208695e-04
0,-0.3750000000,-26.2987569653,9.5049873300e-04
0,-0.3750000000,-26.2687526790,1.0530700017e-03
0,-0.3750000000,-26.2387483926,1.1952332060e-03
0,-0.3750000000,-26.2087441063,1.3808174294e-03
0,-0.3750000000,-26.1787398200,1.6061049915e-03
0,-0.3750000000,-26.1487355336,1.8503717388e-03
0,-0.3750000000,-26.1187312473,2.0667918765e-03
0,-0.3750000000,-26.0887269610,2.1900807728e-03
0,-0.3750000000,-26.0587226747,2.1736755531e-03
0,-0.3750000000,-26.0287183883,2.0265856734e-03
0,-0.3750000000,-25.9987141020,1.8023228317e-03
0,-0.3750000000,-25.9687098157,1.5573592522e-03
0,-0.3750000000,-25.9387055294,1.3280681660e-03
