k_index,k1,k2,k3,k_distance_inv_ang,label,energy_eV,spectral_weight_per_eV
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.1291291291,1.4922216852e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.0690690691,1.5550854121e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.0090090090,1.6229244812e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.9489489489,1.6964315493e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.8888888889,1.7764494497e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.8288288288,1.8640149816e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.7687687688,1.9604180393e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.7087087087,2.0672819452e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.6486486486,2.1866729277e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.5885885886,2.3212489774e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.5285285285,2.4744598395e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.4684684685,2.6508076035e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.4084084084,2.8561629011e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.3483483483,3.0980839124e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.2882882883,3.3859540750e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.2282282282,3.7304342239e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.1681681682,4.1410494418e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.1081081081,4.6196729830e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-8.0480480480,5.1473542466e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.9879879880,5.6669584636e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.9279279279,6.0806051169e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.8678678679,6.2927304593e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.8078078078,6.2837314592e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.7477477477,6.1289306660e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.6876876877,5.9363106527e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.6276276276,5.7841621937e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.5675675676,5.7081271606e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.5075075075,5.7161576217e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.4474474474,5.8044173452e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.3873873874,5.9663714187e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.3273273273,6.1966457063e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.2672672673,6.4922699240e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.2072072072,6.8528929105e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.1471471471,7.2807055979e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.0870870871,7.7803668906e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-7.0270270270,8.3590404043e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-6.9669669670,9.0265824042e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-6.9069069069,9.7959048133e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-6.8468468468,1.0683542400e-01
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-6.7867867868,1.1710469237e-01
